ダウンロード実行日,2014年01月26日現在,件数,10135件
ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード
"E00004","内国法人・組合","上場","有","1491"," 5月31日","カネコ種苗株式会社","KANEKO SEEDS CO., LTD.","カネコシュビョウカブシキガイシャ","前橋市古市町一丁目５０番地１２","水産・農林業","13760"
"E00006","内国法人・組合","上場","有","13500"," 5月31日","株式会社　サカタのタネ","SAKATA SEED CORPORATION","カブシキガイシャ　サカタノタネ","横浜市都筑区仲町台２－７－１","水産・農林業","13770"
"E00007","内国法人・組合","上場","有","1605"," 3月31日","株式会社雪国まいたけ","YUKIGUNI MAITAKE CO.,LTD","カブシキガイシャユキグニマイタケ","南魚沼市余川８９番地","水産・農林業","13780"
"E00008","内国法人・組合","上場","有","5500"," 3月31日","ホクト株式会社","HOKUTO CORPORATION","ホクトカブシキガイシャ","長野市南堀１３８番地１","水産・農林業","13790"
"E00009","内国法人・組合","上場","有","452"," 6月30日","株式会社アクシーズ","AXYZ Co., Ltd","カブシキガイシャアクシーズ","鹿児島市草牟田二丁目１番８号","水産・農林業","13810"
"E00010","内国法人・組合","上場","有","421"," 6月30日","株式会社ホーブ","HOB Co.,Ltd.","カブシキガイシャホーブ","上川郡東神楽町１４号北１番地","水産・農林業","13820"
"E00011","内国法人・組合","上場","有","27672"," 3月31日","住友林業株式会社","Sumitomo Forestry Co.,Ltd.","スミトモリンギョウカブシキガイシャ","千代田区大手町一丁目３番２号","建設業","19110"
"E00012","内国法人・組合","上場","有","5664"," 3月31日","株式会社　極洋","KYOKUYO CO., LTD.","カブシキガイシャ　キョクヨウ","港区赤坂三丁目３番５号","水産・農林業","13010"
"E00013","内国法人・組合","非上場","無","12224"," 3月31日","株式会社マルハニチロ食品","Maruha Nichiro Foods,Inc.","カブシキガイシャマルハニチロショクヒン","江東区豊洲三丁目２番２０号","水産・農林業",""
"E00014","内国法人・組合","上場","有","23729"," 3月31日","日本水産株式会社","Nippon Suisan Kaisha, Ltd.","ニッポンスイサンカブシキガイシャ","千代田区大手町二丁目６番２号","水産・農林業","13320"
"E00015","内国法人・組合","非上場","有","15000"," 3月31日","株式会社マルハニチロ水産","","カブシキガイシャマルハニチロスイサン","江東区豊洲三丁目２番２０号","水産・農林業",""
"E00017","内国法人・組合","上場","有","2005"," 3月31日","株式会社ホウスイ","HOHSUI  CORPORATION","カブシキガイシャホウスイ","中央区築地五丁目２番１号","卸売業","13520"
"E00020","内国法人・組合","上場","有","31000"," 3月31日","株式会社マルハニチロホールディングス","Maruha Nichiro Holdings, Inc.","カブシキガイシャマルハニチロホールディングス","江東区豊洲三丁目２番２０号","水産・農林業","13340"
"E00021","内国法人・組合","上場","有","119457"," 3月31日","三菱マテリアル株式会社","MITSUBISHI MATERIALS CORPORATION","ミツビシマテリアルカブシキガイシャ","千代田区大手町一丁目３番２号","非鉄金属","57110"
"E00023","内国法人・組合","上場","有","93242"," 3月31日","住友金属鉱山株式会社","Sumitomo Metal Mining Co., Ltd.","スミトモキンゾクコウザンカブシキカイシャ","港区新橋５丁目１１番３号","非鉄金属","57130"
"E00024","内国法人・組合","上場","有","42129"," 3月31日","三井金属鉱業株式会社","Mitsui Mining and Smelting Company, Limited","ミツイキンゾクコウギョウカブシキガイシャ","品川区大崎一丁目１１番１号","非鉄金属","57060"
"E00026","内国法人・組合","上場","有","1018"," 3月31日","日本精鉱株式会社","NIHONSEIKO CO.,LTD","ニホンセイコウカブシキガイシャ","新宿区下宮比町３－２","非鉄金属","57290"
"E00027","内国法人・組合","上場","有","12782"," 3月31日","中外鉱業株式会社","Chugai Mining Co.,Ltd.","チュウガイコウギョウカブシキガイシャ","千代田区丸の内２丁目４番１号","非鉄金属","14910"
"E00028","内国法人・組合","上場","有","36437"," 3月31日","ＤＯＷＡホールディングス株式会社","DOWA HOLDINGS CO.,LTD.","ドウワホールディングスカブシキガイシャ","千代田区外神田四丁目１４番１号","非鉄金属","57140"
"E00030","内国法人・組合","上場","有","7000"," 3月31日","日本コークス工業株式会社","NIPPON COKE & ENGINEERING CO., LTD.","ニホンコークスコウギョウカブシキガイシャ","江東区豊洲三丁目３番３号","石油・石炭製品","33150"
"E00032","内国法人・組合","上場","有","28208"," 3月31日","古河機械金属株式会社","FURUKAWA CO.,LTD.","フルカワキカイキンゾクカブシキガイシャ","千代田区丸の内二丁目２番３号","非鉄金属","57150"
"E00033","内国法人・組合","上場","有","2141"," 3月31日","常磐興産株式会社","Joban Kosan Co.,Ltd.","ジョウバンコウサンカブシキガイシャ","いわき市常磐藤原町蕨平５０番地","サービス業","96750"
"E00034","内国法人・組合","上場","有","3782"," 3月31日","太平洋興発株式会社","TAIHEIYO KOUHATSU INCORPORATED","タイヘイヨウコウハツカブシキガイシャ","台東区元浅草二丁目６番７号","卸売業","88350"
"E00035","内国法人・組合","上場","有","1100"," 3月31日","株式会社ニッチツ","NITCHITSU CO.,LTD.","カブシキガイシャニッチツ","港区赤坂一丁目１１番３０号","機械","70210"
"E00036","内国法人・組合","上場","有","4176"," 3月31日","日鉄鉱業株式会社","Nittetsu Mining CO.,Ltd.","ニッテツコウギョウカブシキガイシャ","千代田区丸の内二丁目３番２号","鉱業","15150"
"E00037","内国法人・組合","上場","有","8571"," 3月31日","三井松島産業株式会社","MITSUI MATSUSHIMA Co.,LTD","ミツイマツシマサンギョウカブシキガイシャ","福岡市中央区大手門一丁目１番１２号","鉱業","15180"
